neuron,t
6235,14.2609
4816,14.2629
4022,14.2649
1776,14.2616
254,14.2532
5669,14.2532
2581,14.2799
9899,14.2684
9766,14.2778
7925,14.3034
6032,14.2573
3994,14.2659
3819,14.2779
2798,14.2919
1469,14.2576
1005,14.2754
752,14.2558
2909,14.2788
479,14.3382
8647,14.2582
1505,14.2703
3817,14.2891
6392,14.2967
694,14.2785
7418,14.2594
4169,14.2682
304,14.2687
1534,14.2842
250,14.2844
3638,14.2696
3235,14.2655
7874,14.2981
3322,14.2769
7191,14.2775
2859,14.2975
487,14.2834
4203,14.291
1325,14.2759
8302,14.2816
5019,14.277
3406,14.2715
4005,14.3075
4599,14.2797
6658,14.3204
6468,14.3191
208,14.2794
5719,14.3372
418,14.3116
7057,14.2729
9342,14.2785
2122,14.2885
9420,14.2855
1642,14.2914
7238,14.2911
9318,14.2814
6927,14.2995
871,14.277
7615,14.295
1972,14.3001
7621,14.2847
622,14.2861
8011,14.2847
353,14.3141
5640,14.295
4971,14.3074
585,14.3172
6714,14.321
3550,14.2874
7316,14.3382
6475,14.3099
6282,14.3513
5926,14.3239
4932,14.3036
2013,14.3121
8990,14.3155
2142,14.3261
7676,14.2915
3428,14.3288
4740,14.293
4220,14.3227
5647,14.3675
2723,14.2933
4867,14.3367
3276,14.3144
1476,14.2918
9528,14.294
6283,14.3553
5869,14.2972
5515,14.3117
6602,14.3239
3012,14.3104
8986,14.3321
7930,14.3122
7488,14.3141
1310,14.3239
9159,14.3298
3989,14.3031
7244,14.3296
2408,14.2999
1839,14.3289
463,14.304
8142,14.311
1842,14.2992
2190,14.302
9255,14.3098
9355,14.3156
546,14.3382
9447,14.3584
8220,14.3288
6418,14.3341
9207,14.3097
6826,14.3309
5689,14.3073
3057,14.3608
6513,14.3249
8541,14.356
8420,14.3218
3623,14.3382
9765,14.318
4809,14.374
4360,14.3176
2489,14.3366
1815,14.3826
508,14.374
5490,14.3382
3098,14.3518
9416,14.3382
8779,14.3275
5886,14.3256
3598,14.3355
9744,14.3236
3249,14.3239
3399,14.3215
9489,14.3239
6211,14.3239
6960,14.343
9029,14.3684
7496,14.3247
9907,14.3382
7513,14.3445
6375,14.3786
6300,14.343
5841,14.3425
4202,14.3382
4119,14.343
3748,14.3611
3611,14.3371
2084,14.3518
1444,14.3462
760,14.3254
642,14.3338
476,14.3396
